case_type,date,count
Vaccinated Cases per 10000,"Thursday, 17 June, 2021",0.805681055
Unvaccinated Cases per 10000,"Friday, 18 June, 2021",2.142631618
Vaccinated Cases per 10000,"Friday, 18 June, 2021",0.762737216
Unvaccinated Cases per 10000,"Saturday, 19 June, 2021",1.943260651
Vaccinated Cases per 10000,"Saturday, 19 June, 2021",0.900804855
Unvaccinated Cases per 10000,"Sunday, 20 June, 2021",1.766893722
Vaccinated Cases per 10000,"Sunday, 20 June, 2021",0.656333831
Unvaccinated Cases per 10000,"Monday, 21 June, 2021",1.526807036
Vaccinated Cases per 10000,"Monday, 21 June, 2021",0.690853831
Unvaccinated Cases per 10000,"Tuesday, 22 June, 2021",1.564141622
Vaccinated Cases per 10000,"Tuesday, 22 June, 2021",0.785236361
Unvaccinated Cases per 10000,"Wednesday, 23 June, 2021",1.730780339
Vaccinated Cases per 10000,"Wednesday, 23 June, 2021",0.892867222
Unvaccinated Cases per 10000,"Thursday, 24 June, 2021",1.937897434
Vaccinated Cases per 10000,"Thursday, 24 June, 2021",0.973289918
Unvaccinated Cases per 10000,"Friday, 25 June, 2021",1.950656266
Vaccinated Cases per 10000,"Friday, 25 June, 2021",0.879091012
Unvaccinated Cases per 10000,"Saturday, 26 June, 2021",1.938516043
Vaccinated Cases per 10000,"Saturday, 26 June, 2021",0.952788579
Unvaccinated Cases per 10000,"Sunday, 27 June, 2021",1.85050365
Vaccinated Cases per 10000,"Sunday, 27 June, 2021",1.013815895
Unvaccinated Cases per 10000,"Monday, 28 June, 2021",1.763487143
Vaccinated Cases per 10000,"Monday, 28 June, 2021",0.802684803
Unvaccinated Cases per 10000,"Tuesday, 29 June, 2021",2.177014383
Vaccinated Cases per 10000,"Tuesday, 29 June, 2021",1.015538955
Unvaccinated Cases per 10000,"Wednesday, 30 June, 2021",2.0986796
Vaccinated Cases per 10000,"Wednesday, 30 June, 2021",1.130090142
Unvaccinated Cases per 10000,"Thursday, 1 July, 2021",2.325606573
Vaccinated Cases per 10000,"Thursday, 1 July, 2021",1.338671319
Unvaccinated Cases per 10000,"Friday, 2 July, 2021",2.350130311
Vaccinated Cases per 10000,"Friday, 2 July, 2021",1.253534469
Unvaccinated Cases per 10000,"Saturday, 3 July, 2021",2.24592218
Vaccinated Cases per 10000,"Saturday, 3 July, 2021",1.199140951
Unvaccinated Cases per 10000,"Sunday, 4 July, 2021",2.031157098
Vaccinated Cases per 10000,"Sunday, 4 July, 2021",1.139728605
Unvaccinated Cases per 10000,"Monday, 5 July, 2021",2.147575078
Vaccinated Cases per 10000,"Monday, 5 July, 2021",1.227095563
Unvaccinated Cases per 10000,"Tuesday, 6 July, 2021",2.61356567
Vaccinated Cases per 10000,"Tuesday, 6 July, 2021",1.358660048
Unvaccinated Cases per 10000,"Wednesday, 7 July, 2021",2.421646554
Vaccinated Cases per 10000,"Wednesday, 7 July, 2021",1.301013506
Unvaccinated Cases per 10000,"Thursday, 8 July, 2021",2.995255038
Vaccinated Cases per 10000,"Thursday, 8 July, 2021",1.772281385
Unvaccinated Cases per 10000,"Friday, 9 July, 2021",3.154326095
Vaccinated Cases per 10000,"Friday, 9 July, 2021",1.696703078
Unvaccinated Cases per 10000,"Saturday, 10 July, 2021",3.198508877
Vaccinated Cases per 10000,"Saturday, 10 July, 2021",1.817677584
Unvaccinated Cases per 10000,"Sunday, 11 July, 2021",3.077665015
Vaccinated Cases per 10000,"Sunday, 11 July, 2021",1.91092546
Unvaccinated Cases per 10000,"Monday, 12 July, 2021",2.94615667
Vaccinated Cases per 10000,"Monday, 12 July, 2021",1.69610663
Unvaccinated Cases per 10000,"Tuesday, 13 July, 2021",3.806658562
Vaccinated Cases per 10000,"Tuesday, 13 July, 2021",2.242515244
Unvaccinated Cases per 10000,"Wednesday, 14 July, 2021",3.93165515
Vaccinated Cases per 10000,"Wednesday, 14 July, 2021",2.565451157
Unvaccinated Cases per 10000,"Thursday, 15 July, 2021",4.627461365
Vaccinated Cases per 10000,"Thursday, 15 July, 2021",2.578883266
Unvaccinated Cases per 10000,"Friday, 16 July, 2021",4.38405176
Vaccinated Cases per 10000,"Friday, 16 July, 2021",2.523109821
Unvaccinated Cases per 10000,"Saturday, 17 July, 2021",4.432670868
Vaccinated Cases per 10000,"Saturday, 17 July, 2021",2.446839107
Unvaccinated Cases per 10000,"Sunday, 18 July, 2021",3.819284217
Vaccinated Cases per 10000,"Sunday, 18 July, 2021",2.067338996
Unvaccinated Cases per 10000,"Monday, 19 July, 2021",3.866961116
Vaccinated Cases per 10000,"Monday, 19 July, 2021",2.266627685
Unvaccinated Cases per 10000,"Tuesday, 20 July, 2021",4.365949468
Vaccinated Cases per 10000,"Tuesday, 20 July, 2021",2.574152741
Unvaccinated Cases per 10000,"Wednesday, 21 July, 2021",4.198251178
Vaccinated Cases per 10000,"Wednesday, 21 July, 2021",2.607849415
Unvaccinated Cases per 10000,"Thursday, 22 July, 2021",4.49463788
Vaccinated Cases per 10000,"Thursday, 22 July, 2021",3.025504485
Unvaccinated Cases per 10000,"Friday, 23 July, 2021",5.40972292
Vaccinated Cases per 10000,"Friday, 23 July, 2021",3.590208976
Unvaccinated Cases per 10000,"Saturday, 24 July, 2021",5.594898113
Vaccinated Cases per 10000,"Saturday, 24 July, 2021",3.587410207
Unvaccinated Cases per 10000,"Sunday, 25 July, 2021",6.08741177
Vaccinated Cases per 10000,"Sunday, 25 July, 2021",3.74369729
Unvaccinated Cases per 10000,"Monday, 26 July, 2021",5.460175046
Vaccinated Cases per 10000,"Monday, 26 July, 2021",2.794668711
Unvaccinated Cases per 10000,"Tuesday, 27 July, 2021",5.869828728
Vaccinated Cases per 10000,"Tuesday, 27 July, 2021",3.486211191
Unvaccinated Cases per 10000,"Wednesday, 28 July, 2021",6.235656258
Vaccinated Cases per 10000,"Wednesday, 28 July, 2021",3.990773877
Unvaccinated Cases per 10000,"Thursday, 29 July, 2021",6.212916085
Vaccinated Cases per 10000,"Thursday, 29 July, 2021",3.909569119
Unvaccinated Cases per 10000,"Friday, 30 July, 2021",6.15171657
Vaccinated Cases per 10000,"Friday, 30 July, 2021",3.809907865
Unvaccinated Cases per 10000,"Saturday, 31 July, 2021",6.560104415
Vaccinated Cases per 10000,"Saturday, 31 July, 2021",4.001042368
Unvaccinated Cases per 10000,"Sunday, 1 August, 2021",6.207050437
Vaccinated Cases per 10000,"Sunday, 1 August, 2021",4.058661183
Unvaccinated Cases per 10000,"Monday, 2 August, 2021",5.764030805
Vaccinated Cases per 10000,"Monday, 2 August, 2021",3.69132502
Unvaccinated Cases per 10000,"Tuesday, 3 August, 2021",6.241046564
Vaccinated Cases per 10000,"Tuesday, 3 August, 2021",4.059050224
Unvaccinated Cases per 10000,"Wednesday, 4 August, 2021",7.288678333
Vaccinated Cases per 10000,"Wednesday, 4 August, 2021",4.677930575
Unvaccinated Cases per 10000,"Thursday, 5 August, 2021",7.144242257
Vaccinated Cases per 10000,"Thursday, 5 August, 2021",5.379144846
Unvaccinated Cases per 10000,"Friday, 6 August, 2021",7.126465632
Vaccinated Cases per 10000,"Friday, 6 August, 2021",5.60807022
Unvaccinated Cases per 10000,"Saturday, 7 August, 2021",6.660951708
Vaccinated Cases per 10000,"Saturday, 7 August, 2021",5.091872494
Unvaccinated Cases per 10000,"Sunday, 8 August, 2021",6.618633471
Vaccinated Cases per 10000,"Sunday, 8 August, 2021",4.79843793
Unvaccinated Cases per 10000,"Monday, 9 August, 2021",6.106152148
Vaccinated Cases per 10000,"Monday, 9 August, 2021",4.444836975
Unvaccinated Cases per 10000,"Tuesday, 10 August, 2021",7.06566095
Vaccinated Cases per 10000,"Tuesday, 10 August, 2021",5.19228339
Unvaccinated Cases per 10000,"Wednesday, 11 August, 2021",7.572347892
Vaccinated Cases per 10000,"Wednesday, 11 August, 2021",5.208233559
Unvaccinated Cases per 10000,"Thursday, 12 August, 2021",7.759573101
Vaccinated Cases per 10000,"Thursday, 12 August, 2021",5.589438791
Unvaccinated Cases per 10000,"Friday, 13 August, 2021",7.604852776
Vaccinated Cases per 10000,"Friday, 13 August, 2021",5.636755527
Unvaccinated Cases per 10000,"Saturday, 14 August, 2021",7.436444657
Vaccinated Cases per 10000,"Saturday, 14 August, 2021",5.345590735
Unvaccinated Cases per 10000,"Sunday, 15 August, 2021",7.358886883
Vaccinated Cases per 10000,"Sunday, 15 August, 2021",5.361143043
Unvaccinated Cases per 10000,"Monday, 16 August, 2021",7.052481115
Vaccinated Cases per 10000,"Monday, 16 August, 2021",5.186749041
Unvaccinated Cases per 10000,"Tuesday, 17 August, 2021",7.204146576
Vaccinated Cases per 10000,"Tuesday, 17 August, 2021",5.02056177
Unvaccinated Cases per 10000,"Wednesday, 18 August, 2021",8.116327502
Vaccinated Cases per 10000,"Wednesday, 18 August, 2021",5.754012184
Unvaccinated Cases per 10000,"Thursday, 19 August, 2021",8.641737329
Vaccinated Cases per 10000,"Thursday, 19 August, 2021",5.751509155
Unvaccinated Cases per 10000,"Friday, 20 August, 2021",8.504072656
Vaccinated Cases per 10000,"Friday, 20 August, 2021",6.21959154
Unvaccinated Cases per 10000,"Saturday, 21 August, 2021",8.132480641
Vaccinated Cases per 10000,"Saturday, 21 August, 2021",5.822004553
Unvaccinated Cases per 10000,"Sunday, 22 August, 2021",7.537641122
Vaccinated Cases per 10000,"Sunday, 22 August, 2021",4.972370562
Unvaccinated Cases per 10000,"Monday, 23 August, 2021",6.588264046
Vaccinated Cases per 10000,"Monday, 23 August, 2021",4.555644816
Unvaccinated Cases per 10000,"Tuesday, 24 August, 2021",7.80593671
Vaccinated Cases per 10000,"Tuesday, 24 August, 2021",5.366116929
Unvaccinated Cases per 10000,"Wednesday, 25 August, 2021",8.344752055
Vaccinated Cases per 10000,"Wednesday, 25 August, 2021",5.950914794
Unvaccinated Cases per 10000,"Thursday, 26 August, 2021",9.348856846
Vaccinated Cases per 10000,"Thursday, 26 August, 2021",6.296162336
Unvaccinated Cases per 10000,"Friday, 27 August, 2021",8.061987831
Vaccinated Cases per 10000,"Friday, 27 August, 2021",5.888602764
Unvaccinated Cases per 10000,"Saturday, 28 August, 2021",8.084107601
Vaccinated Cases per 10000,"Saturday, 28 August, 2021",6.159594366
Unvaccinated Cases per 10000,"Sunday, 29 August, 2021",7.86231137
Vaccinated Cases per 10000,"Sunday, 29 August, 2021",5.304265018
Unvaccinated Cases per 10000,"Monday, 30 August, 2021",7.443217634
Vaccinated Cases per 10000,"Monday, 30 August, 2021",4.939325693
Unvaccinated Cases per 10000,"Tuesday, 31 August, 2021",7.653946142
Vaccinated Cases per 10000,"Tuesday, 31 August, 2021",5.630787668
Unvaccinated Cases per 10000,"Wednesday, 1 September, 2021",6.805812832
Vaccinated Cases per 10000,"Wednesday, 1 September, 2021",5.113103031
Unvaccinated Cases per 10000,"Thursday, 2 September, 2021",7.968868963
Vaccinated Cases per 10000,"Thursday, 2 September, 2021",5.531794364
Unvaccinated Cases per 10000,"Friday, 3 September, 2021",7.268150808
Vaccinated Cases per 10000,"Friday, 3 September, 2021",5.175872598
Unvaccinated Cases per 10000,"Saturday, 4 September, 2021",7.116760966
Vaccinated Cases per 10000,"Saturday, 4 September, 2021",5.122657358
Unvaccinated Cases per 10000,"Sunday, 5 September, 2021",7.68351421
Vaccinated Cases per 10000,"Sunday, 5 September, 2021",5.461686111
Unvaccinated Cases per 10000,"Monday, 6 September, 2021",6.423290256
Vaccinated Cases per 10000,"Monday, 6 September, 2021",4.720228717
Unvaccinated Cases per 10000,"Tuesday, 7 September, 2021",7.252172891
Vaccinated Cases per 10000,"Tuesday, 7 September, 2021",4.855315789
Unvaccinated Cases per 10000,"Wednesday, 8 September, 2021",7.388780186
Vaccinated Cases per 10000,"Wednesday, 8 September, 2021",5.350609811
