date,case_type,count
"Wednesday, 23 June, 2021",Recovered,645552
"Wednesday, 23 June, 2021",Deaths,4637
"Thursday, 24 June, 2021",Active,61163
"Thursday, 24 June, 2021",Recovered,650963
"Thursday, 24 June, 2021",Deaths,4721
"Friday, 25 June, 2021",Active,60118
"Friday, 25 June, 2021",Recovered,657738
"Friday, 25 June, 2021",Deaths,4803
"Saturday, 26 June, 2021",Active,60647
"Saturday, 26 June, 2021",Recovered,662931
"Saturday, 26 June, 2021",Deaths,4884
"Sunday, 27 June, 2021",Active,61396
"Sunday, 27 June, 2021",Recovered,667708
"Sunday, 27 June, 2021",Deaths,4944
"Monday, 28 June, 2021",Active,61813
"Monday, 28 June, 2021",Recovered,672452
"Monday, 28 June, 2021",Deaths,5001
"Tuesday, 29 June, 2021",Active,62845
"Tuesday, 29 June, 2021",Recovered,677750
"Tuesday, 29 June, 2021",Deaths,5108
"Wednesday, 30 June, 2021",Active,64130
"Wednesday, 30 June, 2021",Recovered,682679
"Wednesday, 30 June, 2021",Deaths,5170
"Thursday, 1 July, 2021",Active,65454
"Thursday, 1 July, 2021",Recovered,688259
"Thursday, 1 July, 2021",Deaths,5254
"Friday, 2 July, 2021",Active,66085
"Friday, 2 July, 2021",Recovered,694537
"Friday, 2 July, 2021",Deaths,5327
"Saturday, 3 July, 2021",Active,66959
"Saturday, 3 July, 2021",Recovered,700214
"Saturday, 3 July, 2021",Deaths,5434
"Sunday, 4 July, 2021",Active,67670
"Sunday, 4 July, 2021",Recovered,705485
"Sunday, 4 July, 2021",Deaths,5497
"Monday, 5 July, 2021",Active,69448
"Monday, 5 July, 2021",Recovered,710017
"Monday, 5 July, 2021",Deaths,5574
"Tuesday, 6 July, 2021",Active,72202
"Tuesday, 6 July, 2021",Recovered,714814
"Tuesday, 6 July, 2021",Deaths,5677
"Wednesday, 7 July, 2021",Active,74345
"Wednesday, 7 July, 2021",Recovered,719677
"Wednesday, 7 July, 2021",Deaths,5768
"Thursday, 8 July, 2021",Active,77276
"Thursday, 8 July, 2021",Recovered,725479
"Thursday, 8 July, 2021",Deaths,5903
"Friday, 9 July, 2021",Active,80666
"Friday, 9 July, 2021",Recovered,731192
"Friday, 9 July, 2021",Deaths,5980
"Saturday, 10 July, 2021",Active,84022
